Year,Genre,Streams,Number of Times Charted
2020,pop,1920416545,3766
2020,rap,1368668340,1865
2020,post-teen pop,1216209365,1726
2020,dance pop,1034941442,1965
2020,trap,732204357,994
2020,hip hop,695782333,551
2020,pop rap,636782950,1083
2020,latin,601165314,1427
2020,reggaeton,596679397,1436
2020,melodic rap,591456182,930
2020,trap latino,572302839,1320
2020,canadian pop,451877618,589
2020,atl hip hop,258112044,207
2020,k-pop,246941825,253
2020,german hip hop,242273318,75
2020,electropop,228884246,678
2020,philly rap,222085798,100
2020,k-pop boy group,181703274,142
2020,chicago rap,180842578,354
2020,uk pop,175542679,474
