Genre,Weeks Charted,Count
post-teen pop,51,40
post-teen pop,52,67
post-teen pop,53,32
rap,1,59
rap,2,61
rap,3,81
rap,4,62
rap,5,59
rap,6,60
rap,7,55
rap,8,54
rap,9,59
rap,10,72
rap,11,69
rap,12,55
rap,13,53
rap,14,58
rap,15,62
rap,16,65
rap,17,67
rap,18,77
rap,19,73
rap,20,66
rap,21,63
rap,22,60
rap,23,58
rap,24,61
rap,25,66
rap,26,57
rap,27,52
rap,28,49
rap,29,50
rap,30,29
rap,31,27
rap,32,29
rap,33,31
rap,34,30
rap,35,31
rap,36,31
rap,37,30
rap,38,30
rap,39,28
rap,40,38
rap,41,28
rap,42,27
rap,43,27
rap,44,26
rap,45,24
rap,46,26
rap,47,21
rap,48,19
rap,49,20
rap,50,31
rap,51,19
rap,52,60
rap,53,22
reggaeton,1,51
reggaeton,2,51
reggaeton,3,51
reggaeton,4,52
reggaeton,5,50
reggaeton,6,53
reggaeton,7,49
reggaeton,8,50
reggaeton,9,64
reggaeton,10,58
reggaeton,11,54
reggaeton,12,53
reggaeton,13,41
reggaeton,14,42
reggaeton,15,45
reggaeton,16,43
reggaeton,17,42
reggaeton,18,40
reggaeton,19,50
reggaeton,20,47
reggaeton,21,48
reggaeton,22,49
reggaeton,23,46
reggaeton,24,46
reggaeton,25,44
reggaeton,26,44
reggaeton,27,52
reggaeton,28,44
reggaeton,29,43
reggaeton,30,18
reggaeton,31,19
reggaeton,32,17
reggaeton,33,17
reggaeton,34,22
reggaeton,35,24
reggaeton,36,25
reggaeton,37,26
reggaeton,38,24
reggaeton,39,24
reggaeton,40,24
reggaeton,41,26
reggaeton,42,25
reggaeton,43,23
reggaeton,44,25
reggaeton,45,26
reggaeton,46,24
reggaeton,47,21
reggaeton,48,38
reggaeton,49,29
reggaeton,50,25
reggaeton,51,22
reggaeton,52,48
reggaeton,53,26
trap,1,28
trap,2,28
trap,3,22
trap,4,23
trap,5,26
trap,6,25
trap,7,24
trap,8,24
trap,9,30
trap,10,42
trap,11,44
trap,12,30
trap,13,29
trap,14,29
trap,15,34
trap,16,31
trap,17,34
trap,18,31
trap,19,29
trap,20,30
trap,21,28
trap,22,29
trap,23,30
trap,24,26
trap,25,26
trap,26,25
trap,27,22
trap,28,22
trap,29,23
trap,30,16
trap,31,17
trap,32,14
trap,33,15
trap,34,14
trap,35,15
trap,36,15
trap,37,15
trap,38,15
trap,39,14
trap,40,26
trap,41,15
trap,42,14
trap,43,15
trap,44,14
trap,45,13
trap,46,14
trap,47,8
trap,48,7
trap,49,8
trap,50,6
trap,51,6
trap,52,30
trap,53,6
trap latino,1,46
trap latino,2,45
trap latino,3,46
trap latino,4,44
trap latino,5,44
trap latino,6,49
trap latino,7,46
trap latino,8,48
trap latino,9,62
trap latino,10,58
trap latino,11,53
trap latino,12,46
trap latino,13,41
trap latino,14,40
trap latino,15,39
trap latino,16,39
trap latino,17,40
trap latino,18,41
trap latino,19,50
trap latino,20,46
trap latino,21,46
trap latino,22,47
trap latino,23,46
trap latino,24,44
trap latino,25,43
trap latino,26,46
trap latino,27,51
trap latino,28,44
trap latino,29,44
trap latino,30,19
trap latino,31,19
trap latino,32,18
trap latino,33,18
trap latino,34,21
trap latino,35,22
trap latino,36,23
trap latino,37,25
trap latino,38,23
trap latino,39,23
trap latino,40,22
trap latino,41,24
trap latino,42,24
trap latino,43,21
trap latino,44,23
trap latino,45,23
trap latino,46,22
trap latino,47,18
trap latino,48,34
trap latino,49,25
trap latino,50,22
trap latino,51,20
trap latino,52,43
trap latino,53,24
